deal_id,file,country,state_level,fy,stage,version,origin,funding_source,scope_confidence,is_transfer,amount_total,currency,doc_locator,matched_to,warnings
ken-2024-25-immigration-population-management-unclear,2024-07-01-ken-2024-25-immigration-population-management-unclear-digital-id-budget.md,KEN,national,2024/25,unclear,original,domestic-state,unstated,whole,false,6880000000,KES,,,"funding unstated; stage unstated (contemporaneous with Jun-2024 budget presentation); amount_usd 53300000 source-stated"
ken-2024-25-immigration-migration-citizen-services-unclear,2024-07-01-ken-2024-25-immigration-migration-citizen-services-unclear-ecitizen-borders.md,KEN,national,2024/25,unclear,original,domestic-state,unstated,partial,false,7030000000,KES,,,"partial (line includes non-digital refugee relocation); amount_usd 54400000 source-stated"
gnb-wardip-sop1-counterpart-unclear,2023-11-07-gnb-wardip-sop1-counterpart-unclear-gnb-government-counterpart.md,GNB,national,,unclear,original,domestic-state,counterpart,whole,false,500000,USD,,,"counterpart sliver of WB WARDIP SOP1 (PAD4756); IDA side held non-state — compile must not double-count; no FY stated"
mrt-wardip-sop1-counterpart-unclear,2023-11-07-mrt-wardip-sop1-counterpart-unclear-mrt-government-counterpart.md,MRT,national,,unclear,original,domestic-state,counterpart,whole,false,1000000,USD,,,"counterpart sliver of WB WARDIP SOP1 (PAD4756); IDA side held non-state — compile must not double-count; no FY stated"
bfa-2025-state-network-restoration-actual,2025-03-14-bfa-2025-state-network-restoration-actual-bf-network-restoration.md,BFA,national,,actual,original,domestic-state,unstated,whole,false,3000000000,XOF,,,"FY unstated (published=PM address 2025-03-14); amount stated floor; stage actual from completed-works language"
ago-2025-minttics-angosat-3-unclear,2025-01-01-ago-2025-minttics-angosat-3-unclear-angosat3-pac.md,AGO,national,2025,unclear,original,domestic-state,unstated,whole,false,278000000000,AOA,,,"PAC (procurement plan) figure not an appropriation; scale established from internal USD equivalence; amount_usd blank (source conversions garbled)"
cog-2025-anssi-operations-unclear,2025-01-01-cog-2025-anssi-operations-unclear-anssi-2025-operations-allocation.md,COG,national,2025,unclear,original,domestic-state,unstated,whole,false,1300000,USD,,,"USD-as-reported (XAF unstated); stage unclear; financier minted government-of-congo"
bfa-2025-mtdpce-zero-zone-blanche-unclear,2025-09-30-bfa-2025-mtdpce-zero-zone-blanche-unclear-state-envelope-750-zones.md,BFA,national,,unclear,original,domestic-state,unstated,whole,false,37500000000,XOF,,,"state share of 75bn PPP (operators carry other half); FASU+PACTDIGITAL blend — PACTDIGITAL is IDA-financed, possible partial overlap with held WB deal; consolidated from 2 batch twins (3 sources)"
bfa-2026-transition-digitale-mini-datacenters-unclear,2026-01-23-bfa-2026-transition-digitale-mini-datacenters-unclear-public-admin-datacentres.md,BFA,national,,unclear,original,domestic-state,unstated,whole,false,16000000000,XOF,,,"cost at inauguration (minister floor >15bn); consolidated from 2 batch twins (4 sources incl. 2025-03-14 PM address)"
sen-2026-digital-ministry-investment-unclear,2026-01-01-sen-2026-digital-ministry-investment-unclear-digital-investment-budget.md,SEN,national,2026,unclear,original,domestic-state,unstated,partial,false,58200000000,XOF,,,"investment slice of ministry vote (total CFA81.06bn not recorded per envelope rule); held capture summary-style"
zmb-2026-govt-digital-infra-qos-unclear,2026-01-01-zmb-2026-govt-digital-infra-qos-unclear-k255m-qos-upgrade.md,ZMB,national,2026,unclear,original,domestic-state,unstated,whole,false,255000000,ZMW,,,"funding unstated; stage 'approved' unmapped; FY inferred (Zambia FY=calendar); minted gov-zm"
